,Name,Platform,Genre,Publisher
57,Grand Theft Auto IV,PS3,Action,Take-Two Interactive
58,Pokemon FireRed/Pokemon LeafGreen,GBA,Role-Playing,Nintendo
59,Super Mario 64,DS,Platform,Nintendo
60,Call of Duty: Ghosts,X360,Shooter,Activision
61,Just Dance 3,Wii,Misc,Ubisoft
62,New Super Mario Bros. 2,3DS,Platform,Nintendo
63,Mario Kart 64,N64,Racing,Nintendo
64,Halo: Reach,X360,Shooter,Microsoft Game Studios
65,Final Fantasy VII,PS,Role-Playing,Sony Computer Entertainment
66,Halo 4,X360,Shooter,Microsoft Game Studios
67,Gran Turismo 2,PS,Racing,Sony Computer Entertainment
68,Just Dance 2,Wii,Misc,Ubisoft
69,Call of Duty: Ghosts,PS3,Shooter,Activision
70,Call of Duty 4: Modern Warfare,X360,Shooter,Activision
71,Donkey Kong Country,SNES,Platform,Nintendo
72,Minecraft,X360,Misc,Microsoft Game Studios
73,Animal Crossing: New Leaf,3DS,Simulation,Nintendo
74,Mario Party DS,DS,Misc,Nintendo
75,The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks
76,Super Mario Kart,SNES,Racing,Nintendo
77,FIFA 16,PS4,Sports,Electronic Arts
78,Halo 2,XB,Shooter,Microsoft Game Studios
79,Wii Party,Wii,Misc,Nintendo
80,Mario Party 8,Wii,Misc,Nintendo
81,FIFA Soccer 13,PS3,Action,Electronic Arts
82,GoldenEye 007,N64,Shooter,Nintendo
83,Pokemon Black 2/Pokemon White 2,DS,Role-Playing,Nintendo
84,Final Fantasy X,PS2,Role-Playing,Sony Computer Entertainment
85,The Sims 3,PC,Simulation,Electronic Arts
86,Mario & Sonic at the Olympic Games,Wii,Sports,Sega
87,Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts
88,Final Fantasy VIII,PS,Role-Playing,SquareSoft
89,Pac-Man,2600,Puzzle,Atari
90,Pokémon Platinum Version,DS,Role-Playing,Nintendo
91,Grand Theft Auto: Liberty City Stories,PSP,Action,Take-Two Interactive
92,Call of Duty: Advanced Warfare,PS4,Shooter,Activision
93,The Legend of Zelda: Ocarina of Time,N64,Action,Nintendo
94,FIFA 17,PS4,Sports,Electronic Arts
95,Crash Bandicoot 2: Cortex Strikes Back,PS,Platform,Sony Computer Entertainment
96,Super Smash Bros. for Wii U and 3DS,3DS,Fighting,Nintendo
97,Super Mario Galaxy 2,Wii,Platform,Nintendo
98,Super Mario Bros. 2,NES,Platform,Nintendo
99,Call of Duty: Black Ops 3,XOne,Shooter,Activision
100,Call of Duty: World at War,X360,Shooter,Activision
101,Battlefield 3,X360,Shooter,Electronic Arts
102,Need for Speed Underground,PS2,Racing,Electronic Arts
103,Just Dance,Wii,Misc,Ubisoft
104,Battlefield 3,PS3,Shooter,Electronic Arts
105,Fallout 4,PS4,Role-Playing,Bethesda Softworks
106,Tekken 3,PS,Fighting,Sony Computer Entertainment
107,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo
108,Pokemon Sun/Moon,3DS,Role-Playing,Nintendo
109,Crash Bandicoot 3: Warped,PS,Platform,Sony Computer Entertainment
110,Mario Kart 8,WiiU,Racing,Nintendo
111,Super Smash Bros. Melee,GC,Fighting,Nintendo
112,Mario Kart: Double Dash!!,GC,Racing,Nintendo
113,Need for Speed Underground 2,PS2,Racing,Electronic Arts
114,Medal of Honor: Frontline,PS2,Shooter,Electronic Arts
115,Crash Bandicoot,PS,Platform,Sony Computer Entertainment
116,Just Dance 4,Wii,Misc,Ubisoft
117,Gears of War 2,X360,Shooter,Microsoft Game Studios
118,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment
119,Zumba Fitness,Wii,Sports,505 Games
120,Call of Duty 4: Modern Warfare,PS3,Shooter,Activision
121,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment
122,FIFA 12,PS3,Sports,Electronic Arts
123,Big Brain Academy,DS,Misc,Nintendo
124,The Legend of Zelda,NES,Action,Nintendo
125,Red Dead Redemption,PS3,Action,Take-Two Interactive
126,FIFA 14,PS3,Sports,Electronic Arts
127,Assassin's Creed III,PS3,Action,Ubisoft
128,Donkey Kong Country Returns,Wii,Platform,Nintendo
129,Halo: Combat Evolved,XB,Shooter,Microsoft Game Studios
130,The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks
131,Pokémon Emerald Version,GBA,Role-Playing,Nintendo
132,Kingdom Hearts,PS2,Role-Playing,Sony Computer Entertainment
133,Pokémon Crystal Version,GB,Role-Playing,Nintendo
134,Halo 3: ODST,X360,Shooter,Microsoft Game Studios
135,Red Dead Redemption,X360,Action,Take-Two Interactive
136,Super Mario Sunshine,GC,Platform,Nintendo
137,Street Fighter II: The World Warrior,SNES,Fighting,Capcom
138,World of Warcraft,PC,Role-Playing,Activision
139,Driver,PS,Action,GT Interactive
140,Gears of War 3,X360,Shooter,Microsoft Game Studios
141,Kinect Sports,X360,Sports,Microsoft Game Studios
142,Gears of War,X360,Shooter,Microsoft Game Studios
143,FIFA 15,PS4,Sports,Electronic Arts
144,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami Digital Entertainment
145,Sonic the Hedgehog 2,GEN,Platform,Sega
146,Metal Gear Solid,PS,Action,Konami Digital Entertainment
147,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment
148,Final Fantasy XII,PS2,Role-Playing,Square Enix
149,The Last of Us,PS3,Action,Sony Computer Entertainment Europe
150,LittleBigPlanet,PS3,Platform,Sony Computer Entertainment
151,Resident Evil 2,PS,Action,Virgin Interactive
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,Role-Playing,Nintendo
153,Tekken 2,PS,Fighting,Sony Computer Entertainment
154,Destiny,PS4,Shooter,Activision
155,LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts
156,Cooking Mama,DS,Simulation,505 Games
157,Tetris,NES,Puzzle,Nintendo
158,Super Smash Bros.,N64,Fighting,Nintendo
159,Assassin's Creed II,PS3,Action,Ubisoft
160,Assassin's Creed,X360,Adventure,Ubisoft
161,Forza Motorsport 3,X360,Racing,Microsoft Game Studios
162,Super Mario Advance,GBA,Platform,Nintendo
163,Monster Hunter Freedom Unite,PSP,Role-Playing,Capcom
164,Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment
165,Grand Theft Auto V,XOne,Action,Take-Two Interactive
166,Mario Kart: Super Circuit,GBA,Racing,Nintendo
167,Super Mario World,GBA,Platform,Nintendo
168,Pokemon Stadium,N64,Strategy,Nintendo
169,Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive
170,Call of Duty: World at War,PS3,Shooter,Activision
171,Uncharted 4: A Thief's End,PS4,Shooter,Sony Computer Entertainment
172,Dr. Mario,GB,Puzzle,Nintendo
173,Final Fantasy XIII,PS3,Role-Playing,Square Enix
174,Pokemon Pinball,GB,Misc,Nintendo
175,Final Fantasy IX,PS,Role-Playing,SquareSoft
176,Assassin's Creed III,X360,Action,Ubisoft
177,Final Fantasy X-2,PS2,Role-Playing,Electronic Arts
178,Donkey Kong 64,N64,Platform,Nintendo
179,Call of Duty: Advanced Warfare,XOne,Shooter,Activision
180,Minecraft,PS3,Misc,Sony Computer Entertainment
181,Assassin's Creed II,X360,Action,Ubisoft
182,Tomb Raider II,PS,Action,Eidos Interactive
183,Madden NFL 2004,PS2,Sports,Electronic Arts
184,Tomodachi Life,3DS,Simulation,Nintendo
185,New Super Mario Bros. U,WiiU,Platform,Nintendo
186,Dragon Quest VIII: Journey of the Cursed King,PS2,Role-Playing,Square Enix
187,Super Mario Bros. 3,GBA,Platform,Nintendo
188,Professor Layton and the Curious Village,DS,Puzzle,Nintendo
189,Super Mario Land 3: Wario Land,GB,Platform,Nintendo
190,FIFA Soccer 13,X360,Action,Electronic Arts
191,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,Nintendo
192,Diablo III,PC,Role-Playing,Activision
193,Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts
194,Kirby's Dream Land,GB,Platform,Nintendo
195,Microsoft Flight Simulator,PC,Simulation,Microsoft Game Studios
196,Guitar Hero II,PS2,Misc,RedOctane
197,Fable III,X360,Role-Playing,Microsoft Game Studios
198,Mario & Sonic at the Olympic Games,DS,Sports,Sega
199,Resident Evil 5,PS3,Action,Capcom
200,The Legend of Zelda: Phantom Hourglass,DS,Action,Nintendo
201,Super Mario Bros.,GB,Platform,Nintendo
202,FIFA Soccer 11,PS3,Sports,Electronic Arts
203,Resident Evil,PS,Action,Virgin Interactive
204,Grand Theft Auto: Vice City Stories,PSP,Action,Take-Two Interactive
205,Tony Hawk's Pro Skater,PS,Sports,Activision
206,Warzone 2100,PS,Strategy,Eidos Interactive
207,Spyro the Dragon,PS,Platform,Sony Computer Entertainment
208,Guitar Hero III: Legends of Rock,PS2,Misc,Activision
209,Link's Crossbow Training,Wii,Shooter,Nintendo
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,Role-Playing,Nintendo
211,Fallout 3,X360,Role-Playing,Bethesda Softworks
212,Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment
213,Madden NFL 06,PS2,Sports,Electronic Arts
214,Diddy Kong Racing,N64,Racing,Nintendo
215,Monster Hunter Freedom 3,PSP,Role-Playing,Capcom
216,Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,Nintendo
217,Dr. Mario,NES,Puzzle,Nintendo
218,StarCraft II: Wings of Liberty,PC,Strategy,Activision
219,Assassin's Creed,PS3,Adventure,Ubisoft
220,God of War III,PS3,Action,Sony Computer Entertainment
221,Crash Team Racing,PS,Racing,Sony Computer Entertainment
222,LEGO Star Wars: The Complete Saga,DS,Action,LucasArts
223,Driver 2,PS,Action,Atari
224,Batman: Arkham City,X360,Action,Warner Bros. Interactive Entertainment
225,The Last of Us,PS4,Action,Sony Computer Entertainment
226,The Simpsons: Hit & Run,PS2,Racing,Vivendi Games
227,Tony Hawk's Pro Skater 2,PS,Sports,Activision
228,The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts
229,Tomb Raider,PS,Action,Eidos Interactive
230,Animal Crossing: City Folk,Wii,Simulation,Nintendo
231,Uncharted: The Nathan Drake Collection,PS4,Action,Sony Computer Entertainment
232,The Legend of Zelda: A Link to the Past,SNES,Action,Nintendo
233,The Legend of Zelda: The Wind Waker,GC,Action,Nintendo
234,Guitar Hero III: Legends of Rock,Wii,Misc,Activision
235,Luigi's Mansion: Dark Moon,3DS,Action,Nintendo
236,Forza Motorsport 4,X360,Racing,Microsoft Game Studios
237,Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega
238,Madden NFL 2005,PS2,Sports,Electronic Arts
239,Guitar Hero III: Legends of Rock,X360,Misc,Activision
240,Pitfall!,2600,Platform,Activision
241,Madden NFL 07,PS2,Sports,Electronic Arts
242,Halo 5: Guardians,XOne,Shooter,Microsoft Game Studios
243,Spider-Man: The Movie,PS2,Action,Activision
244,Dragon Quest VII: Warriors of Eden,PS,Role-Playing,Enix Corporation
245,Call of Duty: Infinite Warfare,PS4,Shooter,Activision
246,God of War,PS2,Action,Sony Computer Entertainment
247,Splatoon,WiiU,Shooter,Nintendo
248,Nintendo Land,WiiU,Misc,Nintendo
249,Tony Hawk's Pro Skater 3,PS2,Sports,Activision
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami Digital Entertainment
251,The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive
252,Zelda II: The Adventure of Link,NES,Adventure,Nintendo
253,Need for Speed: Most Wanted,PS2,Racing,Electronic Arts
254,Michael Jackson: The Experience,Wii,Misc,Ubisoft
255,Call of Duty: Advanced Warfare,PS3,Shooter,Activision
256,Resistance: Fall of Man,PS3,Shooter,Sony Computer Entertainment
257,Sonic the Hedgehog,GEN,Platform,Sega
258,Kingdom Hearts II,PS2,Role-Playing,Square Enix
259,The Legend of Zelda: Ocarina of Time,3DS,Action,Nintendo
260,Super Mario 3D World,WiiU,Platform,Nintendo
261,Minecraft,PS4,Misc,Sony Computer Entertainment Europe
262,Asteroids,2600,Shooter,Atari
263,Call of Duty: Advanced Warfare,X360,Shooter,Activision
264,FIFA 15,PS3,Sports,Electronic Arts
265,Fable II,X360,Role-Playing,Microsoft Game Studios
266,Namco Museum,GBA,Misc,Namco Bandai Games
267,Batman: Arkham Asylum,PS3,Action,Eidos Interactive
268,Metal Gear Solid 3: Snake Eater,PS2,Action,Konami Digital Entertainment
269,Assassin's Creed: Revelations,PS3,Action,Ubisoft
270,Fallout 4,XOne,Role-Playing,Bethesda Softworks
271,FIFA 14,X360,Sports,Electronic Arts
272,Daxter,PSP,Platform,Sony Computer Entertainment
273,Warcraft II: Tides of Darkness,PC,Strategy,Activision
274,FIFA Soccer 06,PS2,Sports,Electronic Arts
275,EyeToy Play,PS2,Misc,Sony Computer Entertainment
276,Gran Turismo 5 Prologue,PS3,Racing,Sony Computer Entertainment
277,Assassin's Creed: Revelations,X360,Action,Ubisoft
278,FIFA 12,X360,Sports,Electronic Arts
279,Teenage Mutant Ninja Turtles,NES,Action,Palcom
280,Street Fighter IV,PS3,Fighting,Capcom
281,Excitebike,NES,Racing,Nintendo
282,Frogger,PS,Action,Hasbro Interactive
283,Madden NFL 2003,PS2,Sports,Electronic Arts
284,Half-Life,PC,Shooter,Vivendi Games
285,Super Mario World 2: Yoshi's Island,SNES,Platform,Nintendo
286,FIFA Soccer 07,PS2,Sports,Electronic Arts
287,Street Fighter II Turbo,SNES,Fighting,Capcom
288,World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision
289,Battlefield 1,PS4,Shooter,Electronic Arts
290,God of War II,PS2,Action,Sony Computer Entertainment
291,World Soccer Winning Eleven 9,PS2,Sports,Konami Digital Entertainment
292,Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks
293,Forza Motorsport 2,X360,Racing,Microsoft Game Studios
294,Carnival Games,Wii,Misc,Take-Two Interactive
295,Watch Dogs,PS4,Action,Ubisoft
296,Namco Museum Vol.3,PS,Misc,Sony Computer Entertainment
297,Tekken Tag Tournament,PS2,Fighting,Namco Bandai Games
298,Far Cry 4,PS4,Shooter,Ubisoft
299,Star Fox 64,N64,Shooter,Nintendo
300,Golf,NES,Sports,Nintendo
301,Namco Museum: 50th Anniversary,PS2,Misc,Namco Bandai Games
302,Left 4 Dead 2,X360,Shooter,Electronic Arts
303,The Witcher 3: Wild Hunt,PS4,Role-Playing,Namco Bandai Games
304,Assassin's Creed: Unity,PS4,Action,Ubisoft
305,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive Entertainment
306,The Legend of Zelda: Skyward Sword,Wii,Action,Nintendo
307,Fallout 3,PS3,Role-Playing,Bethesda Softworks
308,Professor Layton and the Diabolical Box,DS,Puzzle,Nintendo
309,Donkey Kong Land,GB,Platform,Nintendo
310,EA Sports Active,Wii,Sports,Electronic Arts
311,Tony Hawk's Underground,PS2,Sports,Activision
312,Monster Hunter 4 Ultimate,3DS,Role-Playing,Nintendo
313,The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks
314,NBA 2K16,PS4,Sports,Take-Two Interactive
315,Tekken 5,PS2,Fighting,Namco Bandai Games
316,Dragon Warrior III,NES,Role-Playing,Enix Corporation
317,MotorStorm,PS3,Racing,Sony Computer Entertainment
318,Nintendogs + cats,3DS,Simulation,Nintendo
319,World Soccer Winning Eleven 8 International,PS2,Sports,Konami Digital Entertainment
320,Sports Champions,PS3,Sports,Sony Computer Entertainment
321,Namco Museum Vol.1,PS,Misc,Sony Computer Entertainment
322,The Legend of Zelda: Link's Awakening,GB,Action,Nintendo
323,Call of Duty: Ghosts,PS4,Shooter,Activision
324,Flash Focus: Vision Training in Minutes a Day,DS,Misc,Nintendo
325,Tom Clancy's The Division,PS4,Shooter,Ubisoft
326,Big Brain Academy: Wii Degree,Wii,Misc,Nintendo
327,Resident Evil Director's Cut,PS,Action,Virgin Interactive
328,Mario & Luigi: Bowser's Inside Story,DS,Role-Playing,Nintendo
329,LEGO Indiana Jones: The Original Adventures,X360,Action,Activision
330,The Sims: Unleashed,PC,Simulation,Electronic Arts
331,Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment
332,Harry Potter and the Sorcerer's Stone,PS,Action,Electronic Arts
333,Mario & Sonic at the London 2012 Olympic Games,Wii,Sports,Sega
334,Resident Evil 3: Nemesis,PS,Action,Eidos Interactive
335,Super Paper Mario,Wii,Platform,Nintendo
336,Spyro: Year of the Dragon,PS,Platform,Sony Computer Entertainment
337,Assassin's Creed IV: Black Flag,PS3,Action,Ubisoft
338,FIFA Soccer 2005,PS2,Sports,Electronic Arts
339,Pokémon Trading Card Game,GB,Strategy,Nintendo
340,Friend Collection,DS,Misc,Nintendo
341,Tony Hawk's Pro Skater 4,PS2,Sports,Activision
342,Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts
343,MySims,DS,Simulation,Electronic Arts
344,Midnight Club 3: DUB Edition,PSP,Racing,Take-Two Interactive
345,Banjo-Kazooie,N64,Platform,Nintendo
346,SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment
347,Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment
348,Pokemon Snap,N64,Simulation,Nintendo
349,Pro Evolution Soccer 2008,PS2,Sports,Konami Digital Entertainment
350,Resident Evil 4,PS2,Action,Capcom
351,Guitar Hero: World Tour,Wii,Misc,Activision
352,FIFA Soccer 10,PS3,Sports,Electronic Arts
353,Star Wars: Battlefront,PS2,Shooter,LucasArts
354,Doom II: Hell on Earth,PC,Shooter,Virgin Interactive
355,The Simpsons: Road Rage,PS2,Racing,Electronic Arts
356,Luigi's Mansion,GC,Action,Nintendo
357,Battlefield 4,PS4,Shooter,Electronic Arts
358,Star Wars: Battlefront II,PS2,Shooter,LucasArts
359,Just Dance 2014,Wii,Misc,Ubisoft
360,Cooking Mama 2: Dinner With Friends,DS,Simulation,505 Games
361,WWF SmackDown!,PS,Fighting,THQ
362,Croc: Legend of the Gobbos,PS,Platform,Fox Interactive
363,Grand Theft Auto: Liberty City Stories,PS2,Action,Take-Two Interactive
364,The Getaway,PS2,Action,Sony Computer Entertainment
365,Tomb Raider III: Adventures of Lara Croft,PS,Action,Eidos Interactive
366,James Bond 007: Agent Under Fire,PS2,Shooter,Electronic Arts
367,LEGO Star Wars: The Video Game,PS2,Action,Eidos Interactive
368,Rugrats in Paris: The Movie,PS,Action,THQ
369,FIFA Soccer 11,X360,Sports,Electronic Arts
370,Spyro 2: Ripto's Rage!,PS,Platform,Sony Computer Entertainment
371,Left 4 Dead,X360,Shooter,Electronic Arts
372,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,Nintendo
373,Assassin's Creed: Unity,XOne,Action,Ubisoft
374,Kung Fu,NES,Action,Nintendo
375,Resident Evil 5,X360,Action,Capcom
376,Assassin's Creed: Brotherhood,X360,Action,Ubisoft
377,FIFA Soccer 2004,PS2,Sports,Electronic Arts
378,Battlefield 4,PS3,Shooter,Electronic Arts
379,Batman: Arkham Asylum,X360,Action,Eidos Interactive
380,Battlefield 4,X360,Shooter,Electronic Arts
381,Battlefield: Bad Company 2,X360,Shooter,Electronic Arts
382,Mario & Sonic at the Olympic Winter Games,DS,Sports,Sega
383,Guitar Hero: On Tour,DS,Misc,Activision
384,Clubhouse Games,DS,Misc,Nintendo
385,Monster Hunter 4,3DS,Role-Playing,Capcom
386,Borderlands,X360,Shooter,Take-Two Interactive
387,Tekken 4,PS2,Fighting,Namco Bandai Games
388,Final Fantasy III,SNES,Role-Playing,SquareSoft
389,Grand Theft Auto 2,PS,Action,Take-Two Interactive
390,Metal Gear Solid V: The Phantom Pain,PS4,Action,Konami Digital Entertainment
391,Spider-Man 2,PS2,Action,Activision
392,F-1 Race,GB,Racing,Nintendo
393,FIFA Soccer 2003,PS2,Sports,Electronic Arts
394,LittleBigPlanet 2,PS3,Platform,Sony Computer Entertainment
395,Crash Bash,PS,Misc,Sony Computer Entertainment
396,Assassin's Creed Syndicate,PS4,Action,Ubisoft
397,LEGO Batman: The Videogame,X360,Action,Warner Bros. Interactive Entertainment
398,Destiny,XOne,Shooter,Activision
399,WWF War Zone,PS,Fighting,Acclaim Entertainment
400,The Legend of Zelda: Majora's Mask,N64,Action,Nintendo
401,Far Cry 3,PS3,Shooter,Ubisoft
402,Rugrats: Search For Reptar,PS,Adventure,THQ
403,English Training: Have Fun Improving Your Skills!,DS,Misc,Nintendo
404,James Bond 007: Nightfire,PS2,Shooter,Electronic Arts
405,Ratchet & Clank,PS2,Platform,Sony Computer Entertainment
406,Monster Hunter X,3DS,Action,Capcom
407,Star Wars Episode III: Revenge of the Sith,PS2,Action,LucasArts
408,The Legend of Zelda: Spirit Tracks,DS,Action,Nintendo
409,Max Payne,PS2,Shooter,Take-Two Interactive
410,Assassin's Creed IV: Black Flag,X360,Action,Ubisoft
411,The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts
412,Yokai Watch 2 Ganso/Honke,3DS,Role-Playing,Nintendo
413,Gears of War: Ultimate Edition,XOne,Shooter,Microsoft Game Studios
414,True Crime: Streets of LA,PS2,Action,Activision
415,Professor Layton and the Unwound Future,DS,Puzzle,Nintendo
416,Gran Turismo (PSP),PSP,Racing,Sony Computer Entertainment
417,FIFA 16,XOne,Sports,Electronic Arts
418,Wii Music,Wii,Misc,Nintendo
419,Tekken,PS,Fighting,Sony Computer Entertainment
420,Madden NFL 16,PS4,Sports,Electronic Arts
421,Gran Turismo 6,PS3,Racing,Sony Computer Entertainment
422,Halo: The Master Chief Collection,XOne,Shooter,Microsoft Game Studios
423,007: Tomorrow Never Dies,PS,Shooter,Electronic Arts
424,Super Mario Maker,WiiU,Platform,Nintendo
425,WWF SmackDown! 2: Know Your Role,PS,Fighting,THQ
426,Baseball,NES,Sports,Nintendo
427,Killer Instinct,SNES,Fighting,Nintendo
428,Dragon Quest VI: Maboroshi no Daichi,SNES,Role-Playing,Enix Corporation
429,God of War: Chains of Olympus,PSP,Action,Sony Computer Entertainment
430,Enter the Matrix,PS2,Action,Atari
431,Crisis Core: Final Fantasy VII,PSP,Role-Playing,Square Enix
432,Dance Central,X360,Misc,MTV Games
433,L.A. Noire,PS3,Adventure,Take-Two Interactive
434,Ace Combat 04: Shattered Skies,PS2,Simulation,Sony Computer Entertainment Europe
435,Animal Crossing,GC,Simulation,Nintendo
436,FIFA Soccer 08,PS2,Sports,Electronic Arts
437,Club Penguin: Elite Penguin Force,DS,Adventure,Disney Interactive Studios
438,Spider-Man,PS,Action,Activision
439,Mario Party 9,Wii,Misc,Nintendo
440,Need for Speed III: Hot Pursuit,PS,Racing,Electronic Arts
441,Star Wars Episode I Racer,N64,Racing,Nintendo
442,Sonic Rush,DS,Platform,Sega
443,Dragon Warrior IV,NES,Role-Playing,Enix Corporation
444,Rhythm Heaven,DS,Misc,Nintendo
445,Fallout: New Vegas,PS3,Role-Playing,Bethesda Softworks
446,Personal Trainer: Cooking,DS,Misc,Nintendo
447,The Elder Scrolls IV: Oblivion,PS3,Role-Playing,Ubisoft
448,The Legend of Zelda: A Link Between Worlds,3DS,Action,Nintendo
449,Resident Evil 6,PS3,Shooter,Capcom
450,Mass Effect 2,X360,Role-Playing,Electronic Arts
451,Dragon Ball Z: Budokai,PS2,Fighting,Atari
452,Madden NFL 2002,PS2,Sports,Electronic Arts
453,World Class Track Meet,NES,Sports,Namco Bandai Games
454,Donkey Kong,GB,Platform,Nintendo
455,The Sims: Vacation,PC,Simulation,Electronic Arts
456,LEGO Batman: The Videogame,Wii,Action,Warner Bros. Interactive Entertainment
457,Animal Crossing: Happy Home Designer,3DS,Simulation,Nintendo
458,The Sims 4,PC,Simulation,Electronic Arts
459,Borderlands 2,X360,Shooter,Take-Two Interactive
460,LEGO Batman: The Videogame,DS,Action,Warner Bros. Interactive Entertainment
461,Kung Fu Panda,X360,Action,Activision
462,Mass Effect 3,X360,Role-Playing,Electronic Arts
463,Heavy Rain,PS3,Adventure,Sony Computer Entertainment
464,Rayman,PS,Platform,Ubisoft
465,Saints Row 2,X360,Action,THQ
466,Tom Clancy's Splinter Cell,XB,Action,Ubisoft
467,Mike Tyson's Punch-Out!!,NES,Fighting,Nintendo
